The GCD of 8 and 12 is 4
The GCD of 20 and 45 is 5
The GCD of 30 and 80 is 10
The GCD of 14 and 28 is 14
The GCD of 48 and 18 is 6
The GCD of 56 and 98 is 14
The GCD of 100 and 25 is 25
The GCD of 81 and 27 is 27
The GCD of 36 and 60 is 12
The GCD of 72 and 48 is 24
The GCD of 54 and 24 is 6
The GCD of 90 and 45 is 45
The GCD of 15 and 45 is 15
The GCD of 25 and 50 is 25
The GCD of 64 and 16 is 16
The GCD of 18 and 27 is 9
The GCD of 20 and 30 is 10
The GCD of 42 and 56 is 14
The GCD of 75 and 90 is 15
The GCD of 14 and 35 is 7
